source_file	turn	turn_macro	it2_nonNR_tc.tsv	it3_complex_1_tc.tsv	it3_nonNR_tc.tsv	it4_complex_1_tc.tsv	it4_complex_2_tc.tsv	it4_nonNR_tc.tsv	it5_complex_1_tc.tsv	it5_complex_2_tc.tsv	it5_complex_3_tc.tsv	it5_nonNR_tc.tsv	weighted_macro_curriculum_reverse
scale-llama3-4b-base.tsv	2	78.53	78.53										78.53
scale-llama3-4b-base.tsv	3	63.41		47.17	73.91								65.89
scale-llama3-4b-base.tsv	4	59.79				44.56	48.06	77.57					62.11
scale-llama3-4b-base.tsv	5	43.37							34.39	31.45	34.83	66.62	46.82
scale-llama3-4b-base.tsv	TOTAL	61.50											63.34
scale-phi4-4b-base.tsv	2	75.54	75.54										75.54
scale-phi4-4b-base.tsv	3	62.25		47.54	71.66								64.42
scale-phi4-4b-base.tsv	4	60.21				44.98	51.49	76.09					62.49
scale-phi4-4b-base.tsv	5	47.59							38.21	37.38	44.23	64.46	50.35
scale-phi4-4b-base.tsv	TOTAL	61.60											63.20
scale-qwen2.5-base.tsv	2	78.59	78.59										78.59
scale-qwen2.5-base.tsv	3	62.57		42.23	75.58								65.58
scale-qwen2.5-base.tsv	4	57.50				39.71	44.10	78.32					60.34
scale-qwen2.5-base.tsv	5	40.84							30.49	27.22	33.15	65.26	44.54
scale-qwen2.5-base.tsv	TOTAL	59.73											62.26
scale-qwen3-4b-base.tsv	2	80.13	80.13										80.13
scale-qwen3-4b-base.tsv	3	63.61		43.11	77.00								66.83
scale-qwen3-4b-base.tsv	4	59.25				43.75	45.46	79.51					62.14
scale-qwen3-4b-base.tsv	5	43.53							34.33	29.61	32.30	70.93	47.42
scale-qwen3-4b-base.tsv	TOTAL	61.51											64.13
