	RMA	History	RMA	History	RMA	History	RMA	History	RMA	History
gt_plan	phi4-rma-base.tsv|it2_NR_tc.tsv	phi4-history-base.tsv|it2_NR_tc.tsv	phi4-rma-base.tsv|it2_nonNR_tc.tsv	phi4-history-base.tsv|it2_nonNR_tc.tsv	phi4-rma-base.tsv|it3_nonNR_tc.tsv	phi4-history-base.tsv|it3_nonNR_tc.tsv	phi4-rma-base.tsv|it4_nonNR_tc.tsv	phi4-history-base.tsv|it4_nonNR_tc.tsv	phi4-rma-base.tsv|it5_nonNR_tc.tsv	phi4-history-base.tsv|it5_nonNR_tc.tsv
ACTION_CREATE_DOCUMENT	N/A	N/A	94.12	100	83.33	100	100	100	100	85.71
ACTION_EDIT_ALARM	N/A	N/A	68	88	80.95	57.14	71.43	85.71	0	100
ACTION_EDIT_CONTACT	N/A	N/A	66.67	66.67	80	80	93.33	93.33	95	95
ACTION_EDIT_DOCUMENT	50	50	7.14	7.14	27.78	27.78	0	0	0	9.09
ACTION_EDIT_VIDEO	N/A	N/A	86.36	86.36	100	66.67	100	93.75	100	100
ACTION_GET_CONTENT	N/A	N/A	75	87.5	100	100	80	90	N/A	N/A
ACTION_GET_RINGTONE	N/A	N/A	91.67	100	100	100	100	100	100	100
ACTION_IMAGE_CAPTURE	N/A	N/A	100	66.67	100	100	100	100	100	0
ACTION_INSERT_CONTACT	N/A	N/A	100	66.67	90	75	94.74	84.21	100	100
ACTION_INSERT_EVENT	41.67	50	0	0	0	0	0	0	0	0
ACTION_NAVIGATE_TO_LOCATION	N/A	N/A	80	90	100	80	85.71	78.57	100	89.47
ACTION_OPEN_CONTENT	N/A	N/A	44.44	33.33	73.33	66.67	68.75	62.5	18.75	25
ACTION_OPEN_DOCUMENT	100	93.33	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ACTION_PICK	86.67	80	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ACTION_SET_ALARM	100	100	100	100	80	60	50	25	80	40
ACTION_SET_RINGTONE	100	100	100	100	100	100	100	100	100	100
ACTION_SET_TIMER	N/A	N/A	100	100	85.71	42.86	62.5	37.5	100	100
ACTION_SHOW_ALARMS	N/A	N/A	100	100	100	100	100	100	N/A	N/A
ACTION_SHOW_TIMERS	100	100	100	100	90	100	100	100	N/A	N/A
ACTION_VIDEO_CAPTURE	N/A	N/A	75	100	100	83.33	100	80	100	100
ACTION_VIEW_CALL_LOG	N/A	N/A	100	80	N/A	N/A	100	100	100	100
ACTION_VIEW_CONTACT	N/A	N/A	96.55	96.55	92.86	71.43	100	93.33	92.86	78.57
ACTION_VIEW_EVENT	N/A	N/A	100	100	94.12	100	100	100	100	100
ACTION_VIEW_PLAYLIST	N/A	N/A	66.67	33.33	100	91.67	83.33	100	100	100
ACTION_VIEW_RECENT_APPS	N/A	N/A	100	100	100	100	100	100	100	100
ACTION_VIEW_SENT_EMAILS	N/A	N/A	83.33	100	100	100	100	100	N/A	N/A
ACTION_VIEW_SENT_MESSAGES	100	100	100	100	N/A	N/A	100	100	N/A	N/A
ACTION_VIEW_WEB_HISTORY	100	100	N/A	N/A	100	100	100	100	N/A	N/A
INTENT_ACTION_STILL_IMAGE_CAMERA	100	100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
INTENT_ACTION_VIDEO_CAMERA	100	100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
dial	N/A	N/A	100	83.33	71.43	78.57	75	81.25	100	93.33
get_contact_info	86.67	73.33	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
get_contact_info_from_uri	100	93.33	N/A	N/A	100	100	100	100	100	100
launch_application	88.89	100	100	91.67	100	100	90.91	90.91	N/A	N/A
open_settings	86.67	86.67	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
play_music	N/A	N/A	75	66.67	50	16.67	72.73	90.91	100	100
play_video	N/A	N/A	100	100	100	95.45	100	100	100	100
search_location	N/A	N/A	55.56	44.44	100	100	85.71	71.43	92.86	92.86
send_email	N/A	N/A	44.44	22.22	62.5	56.25	57.14	21.43	68.75	62.5
send_message	N/A	N/A	60	30	64.29	57.14	81.25	50	86.67	86.67
web_search	16.67	16.67	37.5	25	58.33	25	64.71	23.53	100	100
Macro	84.83	83.96	79.01	74.71	84.38	76.72	83.35	78.67	83.39	80.65
