row_label	rma_it2	history_it2	rma_it3	history_it3	rma_it4	history_it4	rma_it5	history_it5	rma_mean	history_mean
ACTION_CREATE_DOCUMENT	76.47	88.24	88.33	98.89	98.16666666666667	92.66000000000001	99.48	99.48	90.61166666666668	94.81750000000001
ACTION_EDIT_ALARM	96.0	84.0	82.38	69.52	85.28333333333333	80.73	87.46	78.815	87.78083333333333	78.26625
ACTION_EDIT_CONTACT	100.0	100.0	97.405	80.455	92.50333333333333	84.13666666666667	95.655	89.10749999999999	96.39083333333333	88.42479166666666
ACTION_EDIT_DOCUMENT	14.29	14.29	20.335	15.11	13.076666666666668	19.616666666666664	24.465	20.2975	18.041666666666664	17.328541666666666
ACTION_EDIT_VIDEO	81.82	81.82	93.9	60.975	92.07666666666667	62.52	91.935	76.645	89.93291666666667	70.49
ACTION_GET_CONTENT	75.0	75.0	66.67	100.0	80.0	90.0			73.89	88.33333333333333
ACTION_GET_RINGTONE	100.0	100.0	100.0	100.0	99.24333333333334	97.96	97.8425	99.405	99.27145833333333	99.34125
ACTION_IMAGE_CAPTURE	100.0	83.33	100.0	87.5	100.0	75.0	100.0	100.0	100.0	86.4575
ACTION_INSERT_CONTACT	100.0	66.67	81.28999999999999	68.225	89.86333333333334	61.54666666666666	93.58500000000001	77.845	91.18458333333334	68.57166666666666
ACTION_INSERT_EVENT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTION_NAVIGATE_TO_LOCATION	80.0	80.0	91.175	75.32	84.37333333333333	77.88	90.9775	76.69500000000001	86.63145833333334	77.47375
ACTION_OPEN_CONTENT	33.33	33.33	68.15	59.75	50.55666666666667	39.68	44.582499999999996	40.4825	49.15479166666667	43.310625
ACTION_SET_ALARM	100.0	100.0	80.0	80.0	75.0	50.0	40.0	60.0	73.75	72.5
ACTION_SET_RINGTONE	100.0	100.0	100.0	100.0	100.0	100.0	100.0	75.0	100.0	93.75
ACTION_SET_TIMER	100.0	0.0	57.14	42.86	37.5	25.0	100.0	100.0	73.66	41.965
ACTION_SHOW_ALARMS	80.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	95.0	100.0
ACTION_SHOW_TIMERS	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
ACTION_VIDEO_CAPTURE	100.0	100.0	100.0	83.33	100.0	100.0	100.0	100.0	100.0	95.8325
ACTION_VIEW_CALL_LOG	100.0	100.0	100.0	100.0	87.77666666666666	100.0	100.0	100.0	96.94416666666666	100.0
ACTION_VIEW_CONTACT	96.55	93.1	98.65	76.74000000000001	92.88	86.36	91.5825	89.85	94.915625	86.5125
ACTION_VIEW_EVENT	93.75	100.0	98.65	98.65	95.55666666666667	100.0	94.885	96.66	95.71041666666667	98.8275
ACTION_VIEW_PLAYLIST	66.67	33.33	100.0	75.83500000000001	86.32666666666667	48.16	76.01666666666667	90.34666666666668	82.25333333333333	61.91791666666667
ACTION_VIEW_RECENT_APPS	100.0	100.0	95.0	100.0	100.0	100.0	100.0	100.0	98.75	100.0
ACTION_VIEW_SENT_EMAILS	100.0	100.0	100.0	94.12	100.0	100.0	83.33333333333333	100.0	95.83333333333333	98.53
ACTION_VIEW_SENT_MESSAGES	100.0	100.0	100.0	100.0	100.0	100.0	64.74333333333334	92.30666666666667	91.18583333333333	98.07666666666667
ACTION_VIEW_WEB_HISTORY			100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
dial	100.0	83.33	82.38	72.14500000000001	83.95666666666666	80.14999999999999	97.44	91.64750000000001	90.94416666666666	81.81812500000001
get_contact_info_from_uri			100.0	50.0	97.06	94.12	98.89	96.56333333333333	98.64999999999999	80.22777777777777
launch_application	100.0	100.0	100.0	100.0	100.0	100.0			100.0	100.0
play_music	83.33	75.0	78.235	35.03	90.31666666666666	54.81	69.63	71.48	80.37791666666666	59.08
play_video	100.0	93.75	97.725	88.63499999999999	96.66666666666667	88.68666666666667	88.4175	91.2075	95.70229166666667	90.56979166666666
search_location	55.56	44.44	91.92	75.685	89.62666666666667	68.60333333333334	83.74	69.97749999999999	80.21166666666667	64.67645833333333
send_email	55.56	33.33	56.665	43.365	58.71	44.306666666666665	68.62	61.3375	59.88875	45.58479166666666
send_message	50.0	30.0	71.285	48.81	78.78333333333333	55.04666666666666	77.5775	71.385	69.41145833333333	51.31041666666667
web_search	43.75	37.5	50.0	33.33	41.18	29.41	100.0	50.0	58.7325	37.56
Macro	81.27	73.65	84.105	72.91999999999999	83.37333333333333	74.33999999999999	81.7375	79.11500000000001	82.62145833333334	75.00625
